MONDO Disease id	Disease name	Parent MONDO id	Parent name
mondo:0025030	digital dermatitis in cattle	mondo:0002051	integumentary system disease
mondo:0025030	digital dermatitis in cattle	mondo:0005550	infectious disease
mondo:0008698	achalasia \(disease\)	mondo:0004335	digestive system disease
mondo:0020629	microcephaly\, growth restriction and increased sister chromatid exchange	mondo:0005046	immune system disease
mondo:0005147	type 1 diabetes mellitus	mondo:0004335	digestive system disease
mondo:0005147	type 1 diabetes mellitus	mondo:0005066	metabolic disease
mondo:0005147	type 1 diabetes mellitus	mondo:0005151	endocrine system disease
mondo:0005147	type 1 diabetes mellitus	mondo:0005046	immune system disease
mondo:0001505	alcoholic hepatitis	mondo:0002025	psychiatric disorder
mondo:0001505	alcoholic hepatitis	mondo:0005071	nervous system disorder
mondo:0001505	alcoholic hepatitis	mondo:0004335	digestive system disease
mondo:0001505	alcoholic hepatitis	mondo:0005151	endocrine system disease
mondo:0001505	alcoholic hepatitis	mondo:0021166	inflammatory disease
mondo:0015254	schistosomiasis	mondo:0005550	infectious disease
mondo:0005857	morbillivirus infectious disease	mondo:0005550	infectious disease
mondo:0005692	cat\-scratch disease	mondo:0005550	infectious disease
mondo:0005692	cat\-scratch disease	mondo:0021166	inflammatory disease
mondo:0005692	cat\-scratch disease	mondo:0005046	immune system disease
mondo:0003452	cochlear disease	mondo:0024623	otorhinolaryngologic disease
mondo:0003452	cochlear disease	mondo:0003900	connective tissue disease
mondo:0003452	cochlear disease	mondo:0002081	musculoskeletal system disease
mondo:0005068	myocardial infarction \(disease\)	mondo:0004995	cardiovascular disease
mondo:0003783	lymphopenia \(disease\)	mondo:0005046	immune system disease
mondo:0003783	lymphopenia \(disease\)	mondo:0005570	hematologic disease
mondo:0003653	stork bite	mondo:0004995	cardiovascular disease
mondo:0021636	astrocytic tumor	mondo:0005071	nervous system disorder
mondo:0004288	scirrhous breast carcinoma	mondo:0004992	cancer
mondo:0004288	scirrhous breast carcinoma	mondo:0002051	integumentary system disease
mondo:0004288	scirrhous breast carcinoma	mondo:0002657	breast disease
mondo:0001593	rectal disease	mondo:0004335	digestive system disease
mondo:0005648	aortic valve insufficiency	mondo:0004995	cardiovascular disease
mondo:0001191	hirudiniasis	mondo:0002051	integumentary system disease
mondo:0001191	hirudiniasis	mondo:0005550	infectious disease
mondo:0024950	horse disease		
mondo:0015691	hypereosinophilic syndrome	mondo:0005570	hematologic disease
mondo:0015691	hypereosinophilic syndrome	mondo:0003900	connective tissue disease
mondo:0015691	hypereosinophilic syndrome	mondo:0002081	musculoskeletal system disease
mondo:0015691	hypereosinophilic syndrome	mondo:0004995	cardiovascular disease
mondo:0015691	hypereosinophilic syndrome	mondo:0005046	immune system disease
mondo:0015691	hypereosinophilic syndrome	mondo:0004992	cancer
mondo:0022007	water intoxication	mondo:0029000	poisoning
mondo:0009689	congenital myasthenic syndrome 6	mondo:0005071	nervous system disorder
mondo:0009689	congenital myasthenic syndrome 6	mondo:0005046	immune system disease
mondo:0008664	autosomal dominant neovascular inflammatory vitreoretinopathy		
mondo:0004605	chronic ulcer of skin	mondo:0002051	integumentary system disease
mondo:0007000	Treponema infectious disease	mondo:0005550	infectious disease
mondo:0006547	exanthem \(disease\)	mondo:0002051	integumentary system disease
mondo:0005643	Alphavirus infectious disease	mondo:0005550	infectious disease
mondo:0007665	primary open angle glaucoma		
mondo:0044871	dystonia\, focal\, task\-specific	mondo:0005071	nervous system disorder
mondo:0005115	temporal lobe epilepsy	mondo:0005071	nervous system disorder
mondo:0019249	mucopolysaccharidosis	mondo:0005066	metabolic disease
mondo:0001227	chronic tympanitis	mondo:0024623	otorhinolaryngologic disease
mondo:0001227	chronic tympanitis	mondo:0021166	inflammatory disease
mondo:0004592	impetigo	mondo:0005550	infectious disease
mondo:0004592	impetigo	mondo:0002051	integumentary system disease
mondo:0004592	impetigo	mondo:0021166	inflammatory disease
mondo:0004926	dacryocystitis	mondo:0021166	inflammatory disease
mondo:0021100	breast neoplasm	mondo:0002657	breast disease
mondo:0010030	Sjogren syndrome	mondo:0024623	otorhinolaryngologic disease
mondo:0010030	Sjogren syndrome	mondo:0005046	immune system disease
mondo:0011952	amyotrophic lateral sclerosis type 7	mondo:0005071	nervous system disorder
mondo:0005736	eastern equine encephalitis	mondo:0005550	infectious disease
mondo:0005736	eastern equine encephalitis	mondo:0005071	nervous system disorder
mondo:0005736	eastern equine encephalitis	mondo:0021166	inflammatory disease
mondo:0043653	herpes labialis	mondo:0002051	integumentary system disease
mondo:0043653	herpes labialis	mondo:0005550	infectious disease
mondo:0005161	human papilloma virus infection	mondo:0005550	infectious disease
mondo:0005673	blind loop syndrome	mondo:0004335	digestive system disease
mondo:0044740	salivary gland squamous cell carcinoma	mondo:0004335	digestive system disease
mondo:0044740	salivary gland squamous cell carcinoma	mondo:0004992	cancer
mondo:0044740	salivary gland squamous cell carcinoma	mondo:0024623	otorhinolaryngologic disease
mondo:0043579	enteritis	mondo:0004335	digestive system disease
mondo:0043579	enteritis	mondo:0005550	infectious disease
mondo:0043579	enteritis	mondo:0021166	inflammatory disease
mondo:0024985	sheep disease		
mondo:0001347	facioscapulohumeral muscular dystrophy	mondo:0002051	integumentary system disease
mondo:0001347	facioscapulohumeral muscular dystrophy	mondo:0005071	nervous system disorder
mondo:0001347	facioscapulohumeral muscular dystrophy	mondo:0002081	musculoskeletal system disease
mondo:0022034	lentivirus infection	mondo:0004992	cancer
mondo:0022034	lentivirus infection	mondo:0005550	infectious disease
mondo:0005053	ischemic disease	mondo:0004995	cardiovascular disease
mondo:0005116	Whipple disease	mondo:0004335	digestive system disease
mondo:0005116	Whipple disease	mondo:0005071	nervous system disorder
mondo:0005116	Whipple disease	mondo:0005550	infectious disease
mondo:0005323	bacterial sexually transmitted disease	mondo:0005550	infectious disease
mondo:0005892	otitis media with effusion	mondo:0024623	otorhinolaryngologic disease
mondo:0005892	otitis media with effusion	mondo:0021166	inflammatory disease
mondo:0006515	acute pancreatitis	mondo:0004335	digestive system disease
mondo:0006515	acute pancreatitis	mondo:0005151	endocrine system disease
mondo:0006515	acute pancreatitis	mondo:0021166	inflammatory disease
mondo:0017137	onchocerciasis	mondo:0002051	integumentary system disease
mondo:0017137	onchocerciasis	mondo:0005071	nervous system disorder
mondo:0017137	onchocerciasis	mondo:0021084	vision disorder
mondo:0017137	onchocerciasis	mondo:0005550	infectious disease
mondo:0005099	subarachnoid hemorrhage \(disease\)	mondo:0004995	cardiovascular disease
mondo:0005099	subarachnoid hemorrhage \(disease\)	mondo:0005071	nervous system disorder
mondo:0008000	migraine with or without aura\, susceptibility to\, 1		
mondo:0043953	burkholderia infectious disease	mondo:0005550	infectious disease
mondo:0008072	IGAN1	mondo:0002118	urinary system disease
mondo:0008072	IGAN1	mondo:0021166	inflammatory disease
mondo:0022098	catamenial pneumothorax	mondo:0005087	respiratory system disease
mondo:0011980	autoimmune thyroid disease\, susceptibility to\, 1	mondo:0021166	inflammatory disease
mondo:0011980	autoimmune thyroid disease\, susceptibility to\, 1	mondo:0005151	endocrine system disease
mondo:0011980	autoimmune thyroid disease\, susceptibility to\, 1	mondo:0005046	immune system disease
mondo:0005447	testicular cancer	mondo:0004992	cancer
mondo:0005447	testicular cancer	mondo:0005151	endocrine system disease
mondo:0020250	autosomal dominant optic atrophy	mondo:0005071	nervous system disorder
mondo:0001298	congenital mitral valve insufficiency	mondo:0004995	cardiovascular disease
mondo:0008199	late\-onset Parkinson disease	mondo:0005066	metabolic disease
mondo:0008199	late\-onset Parkinson disease	mondo:0005071	nervous system disorder
mondo:0002872	trophoblastic neoplasm		
mondo:0005593	chronic periodontitis	mondo:0002081	musculoskeletal system disease
mondo:0005593	chronic periodontitis	mondo:0021166	inflammatory disease
mondo:0016129	eosinophilic gastroenteritis	mondo:0004335	digestive system disease
mondo:0016129	eosinophilic gastroenteritis	mondo:0005550	infectious disease
mondo:0016129	eosinophilic gastroenteritis	mondo:0021166	inflammatory disease
mondo:0020686	acute adenoiditis	mondo:0024623	otorhinolaryngologic disease
mondo:0020686	acute adenoiditis	mondo:0005087	respiratory system disease
mondo:0020686	acute adenoiditis	mondo:0021166	inflammatory disease
mondo:0020686	acute adenoiditis	mondo:0005046	immune system disease
mondo:0010708	Pallister\-W syndrome	mondo:0024623	otorhinolaryngologic disease
mondo:0010708	Pallister\-W syndrome	mondo:0002025	psychiatric disorder
mondo:0010708	Pallister\-W syndrome	mondo:0005071	nervous system disorder
mondo:0002885	erythrasma	mondo:0002051	integumentary system disease
mondo:0002885	erythrasma	mondo:0021166	inflammatory disease
mondo:0005111	Epstein\-Barr virus infection	mondo:0005550	infectious disease
mondo:0006857	middle cerebral artery infarction	mondo:0004995	cardiovascular disease
mondo:0006857	middle cerebral artery infarction	mondo:0005071	nervous system disorder
mondo:0011846	bulimia nervosa\, susceptibility to\, 1	mondo:0005137	nutritional disorder
mondo:0011846	bulimia nervosa\, susceptibility to\, 1	mondo:0002025	psychiatric disorder
mondo:0011846	bulimia nervosa\, susceptibility to\, 1	mondo:0005066	metabolic disease
mondo:0011846	bulimia nervosa\, susceptibility to\, 1	mondo:0005071	nervous system disorder
mondo:0007209	Weismann\-Netter syndrome	mondo:0003900	connective tissue disease
mondo:0007209	Weismann\-Netter syndrome	mondo:0002081	musculoskeletal system disease
mondo:0003050	lung large cell carcinoma	mondo:0004992	cancer
mondo:0003050	lung large cell carcinoma	mondo:0005087	respiratory system disease
mondo:0005439	familial hypercholesterolemia	mondo:0005066	metabolic disease
mondo:0007721	hiatus hernia \(disease\)	mondo:0004335	digestive system disease
mondo:0005747	enterovirus infectious disease	mondo:0005550	infectious disease
mondo:0012126	familial avascular necrosis of femoral head	mondo:0003900	connective tissue disease
mondo:0012126	familial avascular necrosis of femoral head	mondo:0002081	musculoskeletal system disease
mondo:0007577	esophageal ring\, lower		
mondo:0017046	neuroepithelioma	mondo:0005071	nervous system disorder
mondo:0043247	Mallory\-Weiss syndrome	mondo:0005570	hematologic disease
mondo:0007021	wheat allergic disease		
mondo:0001557	olecranon bursitis	mondo:0002081	musculoskeletal system disease
mondo:0001557	olecranon bursitis	mondo:0003900	connective tissue disease
mondo:0001557	olecranon bursitis	mondo:0021166	inflammatory disease
mondo:0007972	Meniere disease	mondo:0024623	otorhinolaryngologic disease
mondo:0007972	Meniere disease	mondo:0037940	inherited auditory system disease
mondo:0007972	Meniere disease	mondo:0005071	nervous system disorder
mondo:0009326	congenital heart block	mondo:0004995	cardiovascular disease
mondo:0005406	gestational diabetes	mondo:0004335	digestive system disease
mondo:0005406	gestational diabetes	mondo:0005066	metabolic disease
mondo:0005406	gestational diabetes	mondo:0005151	endocrine system disease
mondo:0005932	pseudorabies	mondo:0005550	infectious disease
mondo:0004992	cancer	mondo:0004992	cancer
mondo:0005062	lymphoma	mondo:0005570	hematologic disease
mondo:0004126	thyroiditis \(disease\)	mondo:0005151	endocrine system disease
mondo:0004126	thyroiditis \(disease\)	mondo:0021166	inflammatory disease
mondo:0007655	fissured tongue		
mondo:0003847	Mendelian disease		
mondo:0007761	hyperlipoproteinemia type IV	mondo:0005066	metabolic disease
mondo:0005826	lipid pneumonia	mondo:0005550	infectious disease
mondo:0005826	lipid pneumonia	mondo:0005087	respiratory system disease
mondo:0005826	lipid pneumonia	mondo:0021166	inflammatory disease
mondo:0004975	Alzheimer disease	mondo:0002025	psychiatric disorder
mondo:0004975	Alzheimer disease	mondo:0005071	nervous system disorder
mondo:0004872	hemorrhoid	mondo:0004995	cardiovascular disease
mondo:0019154	androgen insensitivity syndrome	mondo:0005066	metabolic disease
mondo:0019154	androgen insensitivity syndrome	mondo:0005151	endocrine system disease
mondo:0001436	hemosiderosis	mondo:0005066	metabolic disease
mondo:0006624	overactive bladder \(disease\)	mondo:0002118	urinary system disease
mondo:0000703	collagenous colitis	mondo:0004335	digestive system disease
mondo:0000703	collagenous colitis	mondo:0005550	infectious disease
mondo:0000703	collagenous colitis	mondo:0021166	inflammatory disease
mondo:0000703	collagenous colitis	mondo:0005046	immune system disease
mondo:0002155	cholecystitis	mondo:0004335	digestive system disease
mondo:0002155	cholecystitis	mondo:0005151	endocrine system disease
mondo:0002155	cholecystitis	mondo:0021166	inflammatory disease
mondo:0025419	furunculosis		
mondo:0007034	Adams\-Oliver syndrome	mondo:0002051	integumentary system disease
mondo:0007034	Adams\-Oliver syndrome	mondo:0003900	connective tissue disease
mondo:0007034	Adams\-Oliver syndrome	mondo:0002081	musculoskeletal system disease
mondo:0001302	hypertensive heart disease	mondo:0004995	cardiovascular disease
mondo:0001835	facial paralysis	mondo:0005071	nervous system disorder
mondo:0015364	hereditary sensory and autonomic neuropathy	mondo:0005071	nervous system disorder
mondo:0024305	acquired hyperprolactinemia	mondo:0005066	metabolic disease
mondo:0024305	acquired hyperprolactinemia	mondo:0005151	endocrine system disease
mondo:0024305	acquired hyperprolactinemia	mondo:0005071	nervous system disorder
mondo:0021201	skin infection	mondo:0005550	infectious disease
mondo:0021201	skin infection	mondo:0002051	integumentary system disease
mondo:0021201	skin infection	mondo:0021166	inflammatory disease
mondo:0007889	lentigines		
mondo:0021042	glioma	mondo:0005071	nervous system disorder
mondo:0006000	tuberculous peritonitis	mondo:0004335	digestive system disease
mondo:0006000	tuberculous peritonitis	mondo:0005550	infectious disease
mondo:0006000	tuberculous peritonitis	mondo:0021166	inflammatory disease
mondo:0019087	cholangiocarcinoma	mondo:0004335	digestive system disease
mondo:0019087	cholangiocarcinoma	mondo:0004992	cancer
mondo:0019087	cholangiocarcinoma	mondo:0005151	endocrine system disease
mondo:0005446	cutaneous leishmaniasis	mondo:0002051	integumentary system disease
mondo:0005446	cutaneous leishmaniasis	mondo:0005550	infectious disease
mondo:0002567	tracheal disease	mondo:0005087	respiratory system disease
mondo:0005316	bacterial vaginosis	mondo:0005550	infectious disease
mondo:0005316	bacterial vaginosis	mondo:0021166	inflammatory disease
mondo:0043251	odontoma	mondo:0002081	musculoskeletal system disease
mondo:0021697	chlamydia infectious disease	mondo:0005550	infectious disease
mondo:0007127	diffuse idiopathic skeletal hyperostosis	mondo:0003900	connective tissue disease
mondo:0007127	diffuse idiopathic skeletal hyperostosis	mondo:0005066	metabolic disease
mondo:0007127	diffuse idiopathic skeletal hyperostosis	mondo:0002081	musculoskeletal system disease
mondo:0015356	hereditary neoplastic syndrome		
mondo:0005805	hypodermyiasis	mondo:0002051	integumentary system disease
mondo:0005805	hypodermyiasis	mondo:0005550	infectious disease
mondo:0009953	leukocyte adhesion deficiency type II	mondo:0005066	metabolic disease
mondo:0009953	leukocyte adhesion deficiency type II	mondo:0005046	immune system disease
mondo:0007977	mesomelic dysplasia\, Kantaputra type	mondo:0003900	connective tissue disease
mondo:0007977	mesomelic dysplasia\, Kantaputra type	mondo:0002081	musculoskeletal system disease
mondo:0005758	eunuchism	mondo:0005151	endocrine system disease
mondo:0009254	fucosidosis	mondo:0003900	connective tissue disease
mondo:0009254	fucosidosis	mondo:0005066	metabolic disease
mondo:0009254	fucosidosis	mondo:0002081	musculoskeletal system disease
mondo:0000945	venous insufficiency \(disease\)	mondo:0004995	cardiovascular disease
mondo:0006486	uveal melanoma	mondo:0005071	nervous system disorder
mondo:0006486	uveal melanoma	mondo:0004335	digestive system disease
mondo:0006486	uveal melanoma	mondo:0005151	endocrine system disease
mondo:0006486	uveal melanoma	mondo:0005550	infectious disease
mondo:0006486	uveal melanoma	mondo:0004992	cancer
mondo:0006486	uveal melanoma	mondo:0021166	inflammatory disease
mondo:0018903	sarcocystosis	mondo:0005550	infectious disease
mondo:0019186	Q fever	mondo:0004335	digestive system disease
mondo:0019186	Q fever	mondo:0005550	infectious disease
mondo:0019186	Q fever	mondo:0021166	inflammatory disease
mondo:0043243	leukoplakia		
mondo:0009741	neuroblastoma\, susceptibility to	mondo:0004992	cancer
mondo:0009741	neuroblastoma\, susceptibility to	mondo:0005071	nervous system disorder
mondo:0021121	hemangioendothelioma	mondo:0004995	cardiovascular disease
mondo:0005707	coccidiosis	mondo:0005550	infectious disease
mondo:0003159	vascular hemostatic disease	mondo:0004995	cardiovascular disease
mondo:0003159	vascular hemostatic disease	mondo:0005570	hematologic disease
mondo:0004868	biliary tract disease	mondo:0004335	digestive system disease
mondo:0023050	ectrodactyly cardiopathy dysmorphism		
mondo:0018987	granulomatous mastitis		
mondo:0021960	ureteritis	mondo:0002118	urinary system disease
mondo:0021960	ureteritis	mondo:0021166	inflammatory disease
mondo:0021184	deltaretrovirus infections	mondo:0005550	infectious disease
mondo:0016699	myxopapillary ependymoma	mondo:0005071	nervous system disorder
mondo:0004745	priapism	mondo:0004995	cardiovascular disease
mondo:0004745	priapism	mondo:0002025	psychiatric disorder
mondo:0004745	priapism	mondo:0005071	nervous system disorder
mondo:0010595	Sertoli cell\-only syndrome		
mondo:0020562	pleomorphic liposarcoma	mondo:0004992	cancer
mondo:0020562	pleomorphic liposarcoma	mondo:0003900	connective tissue disease
mondo:0020562	pleomorphic liposarcoma	mondo:0002081	musculoskeletal system disease
mondo:0007184	AGA1	mondo:0002051	integumentary system disease
mondo:0008056	myotonic dystrophy type 1	mondo:0004995	cardiovascular disease
mondo:0008056	myotonic dystrophy type 1	mondo:0005071	nervous system disorder
mondo:0008056	myotonic dystrophy type 1	mondo:0002081	musculoskeletal system disease
mondo:0004873	internal hemorrhoid	mondo:0004995	cardiovascular disease
mondo:0005875	Newcastle disease	mondo:0005550	infectious disease
mondo:0005445	visceral leishmaniasis	mondo:0005550	infectious disease
mondo:0019618	Sheehan syndrome		
mondo:0006519	rectal cancer	mondo:0004335	digestive system disease
mondo:0006519	rectal cancer	mondo:0004992	cancer
mondo:0020743	mixed phenotype acute leukemia	mondo:0005570	hematologic disease
mondo:0020743	mixed phenotype acute leukemia	mondo:0003900	connective tissue disease
mondo:0020743	mixed phenotype acute leukemia	mondo:0002081	musculoskeletal system disease
mondo:0020743	mixed phenotype acute leukemia	mondo:0005046	immune system disease
mondo:0020743	mixed phenotype acute leukemia	mondo:0004992	cancer
mondo:0002977	autoimmune disease of the nervous system	mondo:0005071	nervous system disorder
mondo:0002977	autoimmune disease of the nervous system	mondo:0005046	immune system disease
mondo:0018081	hemorrhagic fever\-renal syndrome	mondo:0005550	infectious disease
mondo:0014722	Roifman syndrome	mondo:0002025	psychiatric disorder
mondo:0014722	Roifman syndrome	mondo:0005071	nervous system disorder
mondo:0014722	Roifman syndrome	mondo:0003900	connective tissue disease
mondo:0014722	Roifman syndrome	mondo:0002081	musculoskeletal system disease
mondo:0014722	Roifman syndrome	mondo:0005046	immune system disease
mondo:0000701	ischemic colitis	mondo:0005046	immune system disease
mondo:0000701	ischemic colitis	mondo:0004335	digestive system disease
mondo:0000701	ischemic colitis	mondo:0004995	cardiovascular disease
mondo:0000701	ischemic colitis	mondo:0005550	infectious disease
mondo:0000701	ischemic colitis	mondo:0021166	inflammatory disease
mondo:0006527	anhidrosis	mondo:0002051	integumentary system disease
mondo:0004664	helminthiasis	mondo:0005550	infectious disease
mondo:0004976	amyotrophic lateral sclerosis	mondo:0005071	nervous system disorder
mondo:0003381	pituitary gland disease	mondo:0005151	endocrine system disease
mondo:0003381	pituitary gland disease	mondo:0005071	nervous system disorder
mondo:0011849	psoriatic arthritis	mondo:0003900	connective tissue disease
mondo:0011849	psoriatic arthritis	mondo:0002081	musculoskeletal system disease
mondo:0011849	psoriatic arthritis	mondo:0002051	integumentary system disease
mondo:0011849	psoriatic arthritis	mondo:0005046	immune system disease
mondo:0011849	psoriatic arthritis	mondo:0021166	inflammatory disease
mondo:0007007	Ureaplasma urethritis	mondo:0005550	infectious disease
mondo:0007007	Ureaplasma urethritis	mondo:0002118	urinary system disease
mondo:0007007	Ureaplasma urethritis	mondo:0021166	inflammatory disease
mondo:0021105	NAFLD1	mondo:0004335	digestive system disease
mondo:0021105	NAFLD1	mondo:0005151	endocrine system disease
mondo:0019383	acute disseminated encephalomyelitis	mondo:0005550	infectious disease
mondo:0019383	acute disseminated encephalomyelitis	mondo:0005071	nervous system disorder
mondo:0019383	acute disseminated encephalomyelitis	mondo:0021166	inflammatory disease
mondo:0004842	stomatitis	mondo:0021166	inflammatory disease
mondo:0005625	cerebral malaria	mondo:0005071	nervous system disorder
mondo:0005625	cerebral malaria	mondo:0005570	hematologic disease
mondo:0005625	cerebral malaria	mondo:0004335	digestive system disease
mondo:0005625	cerebral malaria	mondo:0005151	endocrine system disease
mondo:0005625	cerebral malaria	mondo:0005550	infectious disease
mondo:0006115	blast phase chronic myelogenous leukemia\, BCR\-ABL1 positive	mondo:0005570	hematologic disease
mondo:0006115	blast phase chronic myelogenous leukemia\, BCR\-ABL1 positive	mondo:0003900	connective tissue disease
mondo:0006115	blast phase chronic myelogenous leukemia\, BCR\-ABL1 positive	mondo:0002081	musculoskeletal system disease
mondo:0006115	blast phase chronic myelogenous leukemia\, BCR\-ABL1 positive	mondo:0005046	immune system disease
mondo:0006115	blast phase chronic myelogenous leukemia\, BCR\-ABL1 positive	mondo:0004992	cancer
mondo:0021680	streptococcal infection	mondo:0005550	infectious disease
mondo:0017768	reflex epilepsy	mondo:0005071	nervous system disorder
mondo:0020120	skeletal muscle disease	mondo:0005071	nervous system disorder
mondo:0020120	skeletal muscle disease	mondo:0002081	musculoskeletal system disease
mondo:0016576	split hand\-foot malformation	mondo:0003900	connective tissue disease
mondo:0016576	split hand\-foot malformation	mondo:0002081	musculoskeletal system disease
mondo:0005393	gout	mondo:0003900	connective tissue disease
mondo:0005393	gout	mondo:0005066	metabolic disease
mondo:0005393	gout	mondo:0002081	musculoskeletal system disease
mondo:0005393	gout	mondo:0005046	immune system disease
mondo:0005393	gout	mondo:0021166	inflammatory disease
mondo:0002474	primary hyperoxaluria	mondo:0005066	metabolic disease
mondo:0002474	primary hyperoxaluria	mondo:0002118	urinary system disease
mondo:0002474	primary hyperoxaluria	mondo:0005071	nervous system disorder
mondo:0003225	bone marrow disease	mondo:0005046	immune system disease
mondo:0003225	bone marrow disease	mondo:0002081	musculoskeletal system disease
mondo:0003225	bone marrow disease	mondo:0005570	hematologic disease
mondo:0000744	lung abscess \(disease\)	mondo:0005087	respiratory system disease
mondo:0000744	lung abscess \(disease\)	mondo:0005550	infectious disease
mondo:0005385	vascular disease	mondo:0004995	cardiovascular disease
mondo:0009567	Marinesco\-Sjogren syndrome	mondo:0005071	nervous system disorder
mondo:0007702	heart\-hand syndrome type 3	mondo:0003900	connective tissue disease
mondo:0007702	heart\-hand syndrome type 3	mondo:0004995	cardiovascular disease
mondo:0007702	heart\-hand syndrome type 3	mondo:0002081	musculoskeletal system disease
mondo:0003669	testicular seminoma	mondo:0004992	cancer
mondo:0003669	testicular seminoma	mondo:0005151	endocrine system disease
mondo:0000367	taeniasis	mondo:0004335	digestive system disease
mondo:0000367	taeniasis	mondo:0005550	infectious disease
mondo:0002907	intracranial thrombosis	mondo:0004995	cardiovascular disease
mondo:0002907	intracranial thrombosis	mondo:0005071	nervous system disorder
mondo:0002025	psychiatric disorder	mondo:0002025	psychiatric disorder
mondo:0002025	psychiatric disorder	mondo:0005071	nervous system disorder
